city;monument;2018;2019;2020;2021;type_of_monulent;region;type_of_area;monument_name
TALCY  ;CHATEAU;13269;28570;8283;8489;CHATEAU;CENTRE-VAL-DE-LOIRE;RURALE;Castle
THORONET  ;ABBAYE;86034;96226;53957;54064;ABBAYE;PROVENCE-ALPES-COTES-AZUR;RURALE;Abbey
TOURS  ;CLOITRE PSALETTE CATHEDRALE;18642;21181;7100;9911;CLOITRE;CENTRE-VAL-DE-LOIRE;URBAIN;Cloister of the Psalette Cathedral
TREGUIER  ;MAISON RENAN;2779;3132;2104;2389;MAISON;BRETAGNE;RURALE;Renan House
VALLEE DE LA VEZERE  ;SITES;36812;35252;6207;18143;SITES MEGALITHIQUES;NOUVELLE-AQUITAINE;RURALE;Sites
VILLARS  ;CHATEAU DE PUYGUILHEM;11694;12939;8950;10273;CHATEAU;NOUVELLE-AQUITAINE;RURALE;Puyguilhem Castle
VILLENEUVE-LEMBRON  ;CHATEAU;8722;8018;3476;5677;CHATEAU;AUVERGNE-RHONE-ALPES;URBAIN;Castle
VILLENEUVE-LEZ-AVIGNON  ;FORT ST-ANDRE;33509;31649;20535;23720;FORT;PROVENCE-ALPES-COTES-AZUR;URBAIN;St-Andre Fort
VINCENNES  ;CHATEAU;139658;132486;47631;58324;CHATEAU;ILE-DE-FRANCE;URBAIN;Castle
WIMILLE  ;COLONNE DE LA GRANDE ARMEE;4787;4686;1648;5038;COLONNE;HAUTS-DE-FRANCE;RURALE;Column of the Grande Armée
